Papel;Segmento;Cotacao;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imoveis;Preco do m2;Aluguel por m2;Cap Rate;Vacancia Media
CPTR11;Titulos e Val. Mob.;6,43;20,49%;16,01%;0,68;266.074.000;1.470.810;0;0;0;0,00%;0,00%
CPTS11;Titulos e Val. Mob.;7,28;7,92%;11,42%;0,84;2.313.790.000;13.101.600;0;0;0;0,00%;0,00%
CRAA11;Titulos e Val. Mob.;101,51;3,04%;13,96%;1;240.562.000;1.285.090;0;0;0;0,00%;0,00%
CRFF11;Titulos e Val. Mob.;68,82;10,44%;11,11%;0,81;47.488.600;55.983;0;0;0;0,00%;0,00%
CTXT11;Lajes Corporativas;6,97;-21,94%;0,00%;0,26;27.332.400;2.014;1;585,67;10,21;1,74%;100,00%
CVBI11;Titulos e Val. Mob.;84,4;12,45%;12,17%;0,9;929.263.000;2.110.610;0;0;0;0,00%;0,00%
CXAG11;Outros;70,82;12,52%;11,16%;0,61;148.058.000;172.814;32;2.572,45;355,9;13,84%;0,00%
CXCE11;Lajes Corporativas;40;13,14%;12,17%;0,62;68.518.000;20.185;1;3.241,05;467,31;14,42%;0,00%
CXCI11;Titulos e Val. Mob.;73,43;12,94%;11,97%;0,82;151.099.000;135.113;0;0;0;0,00%;0,00%
CXCO11;Lajes Corporativas;57,31;15,61%;13,55%;0,56;224.913.000;290.216;10;2.428,32;408,82;16,84%;0,00%
CXRI11;Titulos e Val. Mob.;73,7;9,67%;9,81%;0,87;116.134.000;72.551;0;0;0;0,00%;0,00%
CXTL11;Logistica;216;11,55%;10,36%;0,54;11.577.000;3.387;1;1.662,09;341,56;20,55%;0,00%
DAMA11;Titulos e Val. Mob.;9,79;1,59%;3,17%;1,02;45.233.400;46.774;0;0;0;0,00%;0,00%
DAMT11;Hibrido;13,05;2,16%;0,74%;0,95;232.026.000;719;1;3.026,17;107,01;3,54%;11,05%
DCRA11;Titulos e Val. Mob.;7,78;18,21%;14,94%;0,82;52.428.700;114.526;0;0;0;0,00%;0,00%
DEVA11;Titulos e Val. Mob.;33,39;18,33%;17,22%;0,34;468.959.000;811.835;0;0;0;0,00%;0,00%
DMAC11;Residencial;13;-758,50%;0,00%;2,61;2.029.400;0;0;0;0;0,00%;0,00%
DOMC11;Hibrido;439;0,15%;0,00%;4,3;1.072.830.000;0;2;25.727,50;210,72;0,82%;18,27%
DOVL11;Lajes Corporativas;666,3;13,80%;12,63%;0,83;44.246.300;0;2;2.518,07;620,06;24,62%;0,00%
DPRO11;Hibrido;6,8;9,17%;8,78%;0,74;34.021.900;12.109;1;2.056,48;243,34;11,83%;0,00%
DRIT11;Lajes Corporativas;78,61;5,97%;15,77%;0,61;36.418.200;584;4;6.067,51;639,98;10,55%;39,15%
DVFF11;Titulos e Val. Mob.;6,88;0,27%;11,71%;0,8;75.745.400;15.881;0;0;0;0,00%;0,00%
EDFO11;Lajes Corporativas;157;13,59%;12,40%;0,7;37.052.000;4.461;1;104.325,00;15.442,32;14,80%;0,00%
EDGA11;Lajes Corporativas;18;5,60%;4,86%;0,29;68.617.000;23.288;1;2.736,85;270,45;9,88%;24,56%
EGAF11;Titulos e Val. Mob.;87,92;14,20%;16,03%;0,89;275.358.000;632.247;0;0;0;0,00%;0,00%
ELDO11B;Shoppings;1.104,31;9,96%;10,26%;0,68;869.375.000;0;1;11.448,70;1.353,52;11,82%;1,32%
EQIN11;Titulos e Val. Mob.;93,5;1,28%;0,00%;9,4;1.428.810.000;0;0;0;0;0,00%;0,00%
EQIR11;Titulos e Val. Mob.;8,41;10,43%;12,68%;0,86;91.747.300;240.252;0;0;0;0,00%;0,00%
ERCR11;Hibrido;76.000,00;-0,06%;0,00%;2,69;180.576.000;0;0;0;0;0,00%;0,00%
ERPA11;Lajes Corporativas;133,99;6,82%;6,77%;0,94;67.118.500;90.775;1;19.833,40;1.525,92;7,69%;0,00%
EURO11;Logistica;223,88;10,46%;9,59%;0,66;85.955.600;33.579;7;726,74;84,08;11,57%;0,00%
EVBI11;Hibrido;9,5;4,79%;8,40%;0,96;396.553.000;420.212;5;19.804,70;754,18;3,81%;1,51%
EXES11;Titulos e Val. Mob.;9,6;8,05%;9,97%;1,05;68.212.300;50.386;0;0;0;0,00%;0,00%
FAED11;Outros;140,07;12,58%;12,33%;0,64;96.981.200;68.802;4;2.101,94;282,4;13,44%;0,00%
FAMB11;Lajes Corporativas;1.879,90;-3,09%;0,00%;0,88;230.359.000;300.115;1;3.850,34;53,55;1,39%;89,31%
