Papel;Segmento;Cotacao;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imoveis;Preco do m2;Aluguel por m2;Cap Rate;Vacancia Media
VGII11;Outros;101,41;4,12%;9,14%;1,05;52.618.100;0;0;0;0;0,00%;0,00%
VGIP11;Titulos e Val. Mob.;80,68;12,48%;11,77%;0,89;950.995.000;1.847.320;0;0;0;0,00%;0,00%
VGIR11;Titulos e Val. Mob.;9,63;9,73%;12,34%;0,99;1.406.960.000;5.606.490;0;0;0;0,00%;0,00%
VGRI11;Titulos e Val. Mob.;8,27;3,89%;8,35%;0,85;289.630.000;509.419;5;5.147,04;245,96;4,78%;6,51%
VIFI11;Titulos e Val. Mob.;7,29;11,35%;11,25%;0,84;58.970.200;99.898;0;0;0;0,00%;0,00%
VILG11;Logistica;80,15;9,37%;8,80%;0,71;1.202.040.000;1.860.690;15;2.112,19;232,97;11,03%;6,58%
VINO11;Lajes Corporativas;4,96;11,65%;12,82%;0,46;410.818.000;899.482;10;6.033,05;1.139,65;18,89%;2,20%
VISC11;Shoppings;102,95;7,43%;10,26%;0,81;2.967.910.000;5.475.810;29;2.927,03;247,76;8,46%;5,47%
VIUR11;Outros;5,58;14,48%;13,73%;0,63;150.360.000;259.974;8;2.322,75;318,75;13,72%;3,11%
VJFD11;Hibrido;155,02;5,91%;0,48%;1;755.898.000;1.945;39;790,88;49,08;6,21%;0,00%
VLOL11;Lajes Corporativas;98;6,78%;0,00%;0,88;174.913.000;0;0;0;0;0,00%;0,00%
VOTS11;Titulos e Val. Mob.;74,82;15,56%;12,20%;0,8;61.944.500;3.782;0;0;0;0,00%;0,00%
VPSI11;Shoppings;15,61;15,57%;6,41%;0,5;126.002.000;0;16;1.024,19;163,99;16,01%;0,00%
VRTA11;Titulos e Val. Mob.;81,28;11,73%;11,57%;0,9;1.267.350.000;1.741.980;0;0;0;0,00%;0,00%
VRTM11;Titulos e Val. Mob.;7,37;2,32%;12,79%;0,77;346.178.000;619.131;1;126.251,00;0;0,00%;0,00%
VSEC11;Titulos e Val. Mob.;0,21;700,84%;0,00%;0,07;13.174;0;0;0;0;0,00%;0,00%
VSHO11;Shoppings;69,03;11,89%;10,80%;0,67;144.880.000;77.717;3;1.900,78;441,2;23,21%;7,84%
VSLH11;Outros;3,42;10,20%;13,04%;0,31;102.135.000;163.899;0;0;0;0,00%;0,00%
VTLT11;Logistica;90,1;12,35%;11,54%;0,8;190.562.000;100.821;1;739,66;103,58;14,00%;0,00%
VTPL11;Hibrido;72,1;-0,51%;0,00%;1;99.948.000;0;2;1.176,96;0;0,00%;0,00%
VVCR11;Titulos e Val. Mob.;9,49;7,20%;9,99%;0,89;71.254.100;221.209;0;0;0;0,00%;0,00%
VVMR11;Hibrido;86,96;5,42%;7,91%;0,78;245.504.000;119.068;5;8.013,78;612,19;7,64%;2,83%
VVPR11;Hibrido;101,5;8,99%;0,00%;1,04;234.036.000;0;6;5.334,39;526,7;9,87%;0,00%
VVRI11;Hibrido;99;7,27%;11,64%;0,99;79.465.600;426.312;2;5.107,34;474,1;9,28%;0,00%
VXXV11;Outros;685;-1,11%;34,88%;1,04;189.366.000;83.910;0;0;0;0,00%;0,00%
WHGR11;Hibrido;8,76;11,16%;12,75%;0,91;270.792.000;420.454;0;0;0;0,00%;0,00%
WPLZ11;Shoppings;55;8,91%;8,11%;0,62;59.595.200;4.286;1;1.594,24;153,44;9,62%;11,38%
WSEC11;Titulos e Val. Mob.;8,24;13,95%;12,57%;0,81;20.241.600;32.220;0;0;0;0,00%;0,00%
WTSP11;Hibrido;54;31,53%;8,23%;0,67;53.598.500;11.483;1;4.333,84;339,13;7,83%;3,45%
XPCA11;Titulos e Val. Mob.;6;20,64%;18,01%;0,65;273.138.000;1.805.070;0;0;0;0,00%;0,00%
XPCI11;Titulos e Val. Mob.;80,47;12,80%;12,00%;0,9;700.214.000;1.907.370;0;0;0;0,00%;0,00%
XPCM11;Hibrido;7,37;-2,17%;1,21%;0,26;17.795.400;15.549;1;882,5;16,83;1,91%;78,34%
XPHT11;Hotel;123;3,06%;0,00%;1,95;1.133.880.000;0;12;2.219,69;75,41;3,40%;0,00%
XPIN11;Outros;70,45;9,98%;10,18%;0,67;503.747.000;439.631;96;1.700,49;221,02;13,00%;12,82%
XPLG11;Logistica;96;8,82%;9,28%;0,85;2.842.870.000;4.005.880;16;2.935,12;270,97;9,23%;3,62%
XPML11;Shoppings;103,01;6,69%;10,04%;0,86;5.698.530.000;16.638.200;20;5.526,76;351,16;6,35%;5,45%
XPPR11;Outros;14,81;6,27%;5,92%;0,24;108.352.000;135.816;2;2.009,56;473,29;23,55%;45,23%
XPSF11;Titulos e Val. Mob.;6,73;12,02%;12,23%;0,84;291.423.000;689.403;0;0;0;0,00%;0,00%
XTED11;Lajes Corporativas;8,82;9,26%;0,00%;0,62;87.318.000;0;4;11,11;0,68;6,15%;0,04%
YCHY11;Hibrido;1.000,00;-5,44%;0,00%;9,95;4.235.040.000;0;13;12.319,60;108,66;0,88%;3,26%
YUFI11;Residencial;89,24;3,32%;2,85%;0,85;43.964.100;0;40;2.213,69;224,64;10,15%;0,00%
ZAGH11;Hibrido;13;4,34%;3,12%;1,36;60.397.500;798;0;0;0;0,00%;0,00%
ZAVC11;Titulos e Val. Mob.;10,49;2,03%;7,81%;1,04;32.491.200;833;0;0;0;0,00%;0,00%
ZAVI11;Hibrido;106,45;12,57%;13,58%;0,81;124.900.000;137.625;10;1.825,38;224;12,27%;0,73%
ZIFI11;Hibrido;790;-1,86%;0,00%;0,44;37.513.200;1.603;0;0;0;0,00%;0,00%
